"","Site_code","Date","WY","ppt_pM","tmax_pM","tmin_pM","tavg_pM","vpdmin_pM","vpdmax_pM"
"26","DC 1",2002-02-01,2002,145.375,13.3360004,1.378,7.3570004,1.975,10.4309998
"27","DC 1",2002-03-01,2002,248.2539978,12.8170004,0.345,6.5810003,1.818,10.7510004
"28","DC 1",2002-04-01,2002,75.276001,17.0279999,4.164,10.5950003,1.335,12.8610001
"29","DC 1",2002-05-01,2002,62.5639992,20.7709999,6.5810003,13.6760006,2.9030001,17.8829994
"30","DC 1",2002-06-01,2002,0,28.0359993,12.6610003,20.3480015,6.54,28.4799995
"31","DC 1",2002-07-01,2002,0,32.1570015,15.5950003,23.8760014,8.5349998,37.6860008
"32","DC 1",2002-08-01,2002,0,30.8180008,14.3920012,22.6050014,9.4449997,36.7210007
"33","DC 1",2002-09-01,2002,0,28.7849998,12.0170002,20.401001,8.7060003,34.2799988
"34","DC 1",2002-10-01,2003,0,22.5639992,7.1350002,14.8490009,4.8369999,21.9279995
"35","DC 1",2002-11-01,2003,238.3999939,16.1599998,5.1020002,10.6310005,3.5380001,12.8979998
"36","DC 1",2002-12-01,2003,597.3699951,8.1529999,0.68,4.4160004,1,5.0890002
"37","DC 1",2003-01-01,2003,143.6490021,13.8269997,2.7690001,8.2969999,1.377,9.2189999
"38","DC 1",2003-02-01,2003,102.0579987,11.7340002,0.052,5.8930001,1.278,8.4460001
"39","DC 1",2003-03-01,2003,187.9049988,13.8319998,1.2870001,7.5590005,0.96,9.4399996
"40","DC 1",2003-04-01,2003,350.6380005,10.4569998,0.929,5.6920004,0.633,6.4330001
"41","DC 1",2003-05-01,2003,50.2779999,20.5739994,7.4010005,13.9870005,3.21,17.9300003
"42","DC 1",2003-06-01,2003,0,28.5799999,13.026001,20.8030014,5.4489999,29.1009998
"43","DC 1",2003-07-01,2003,0,33.2770004,16.2700005,24.7730007,9.5760002,41.4690018
"44","DC 1",2003-08-01,2003,36.0400009,29.3110008,13.9020004,21.6060009,5.8249998,30.8279991
"45","DC 1",2003-09-01,2003,3.484,29.4669991,13.9180002,21.6920013,9.3920002,36.9869995
"46","DC 1",2003-10-01,2004,5.54,26.6079998,10.7250004,18.6660004,7.7410002,29.4659996
"47","DC 1",2003-11-01,2004,132.8209991,10.5550003,1.6950001,6.1250005,1.3279999,7.1100001
"48","DC 1",2003-12-01,2004,511.5379944,8.052,0.851,4.4510002,0.688,4.8579998
"49","DC 1",2004-01-01,2004,181.4049988,9.5649996,-0.66,4.4520001,0.746,6.4489999
"50","DC 1",2004-02-01,2004,370.6099854,8.8559999,-0.365,4.2450004,0.689,5.7909999
"51","DC 1",2004-03-01,2004,52.3069992,19.3460007,5.0370002,12.1910009,2.9100001,16.9239998
"52","DC 1",2004-04-01,2004,45.6640015,19.2119999,4.7010002,11.9560003,2.9100001,17.2959995
"53","DC 1",2004-05-01,2004,21.6879997,22.1359997,7.2540002,14.6940002,3.0039999,19.6539993
"54","DC 1",2004-06-01,2004,1.973,28.0879993,12.6300011,20.3590012,6.427,29.3710003
"55","DC 1",2004-07-01,2004,0.889,31.3080006,15.0690002,23.1880016,8.4849997,37.3370018
"56","DC 1",2004-08-01,2004,0,30.9850006,14.5830011,22.7840004,9.5539999,37.9480019
"57","DC 1",2004-09-01,2004,8.3479996,27.9179993,11.0600004,19.4880009,8.3120003,33.5349998
"58","DC 1",2004-10-01,2005,207.5639954,19.0130005,7.0250001,13.019001,4.1729999,17.6019993
"59","DC 1",2004-11-01,2005,111.0299988,11.9709997,1.9570001,6.9630003,1.092,9.3929996
"60","DC 1",2004-12-01,2005,292.4719849,10.3999996,0.451,5.4250002,1.66,8.9499998
"61","DC 1",2005-01-01,2005,290.8900146,9.573,0.312,4.9420004,1.306,7.026
"62","DC 1",2005-02-01,2005,154.8670044,11.6099997,2.1700001,6.8890004,1.274,7.6090002
"63","DC 1",2005-03-01,2005,356.3359985,14.3079996,2.4070001,8.3570004,1.918,11.3839998
"64","DC 1",2005-04-01,2005,134.621994,15.3929996,2.003,8.6970005,1.173,11.651
"65","DC 1",2005-05-01,2005,258.0140076,19.2859993,7.2270002,13.2560005,2.227,14.6719999
"66","DC 1",2005-06-01,2005,91.2969971,22.934,9.0640001,15.9990005,3.1570001,19.3269997
"67","DC 1",2005-07-01,2005,0,32.4910011,16.4430008,24.467001,7.5469999,37.1329994
"68","DC 1",2005-08-01,2005,0,32.0229988,15.3520012,23.6870003,9.7910004,39.8050003
"69","DC 1",2005-09-01,2005,16.5839996,25.8619995,9.8710003,17.8660011,5.9749999,27.2830009
"70","DC 1",2005-10-01,2006,43.1889992,20.9829998,7.3610005,14.1720009,3.3800001,18.5149994
"71","DC 1",2005-11-01,2006,163.246994,14.4040003,4.6880002,9.5460005,2.349,12.8909998
"72","DC 1",2005-12-01,2006,858.7589722,10.2119999,1.9680001,6.0890002,0.831,5.947
"73","DC 1",2006-01-01,2006,356.2799988,9.0480003,0.83,4.9390001,0.741,5.9250002
"74","DC 1",2006-02-01,2006,232.1089935,12.8299999,0.772,6.8000002,2.3050001,11.0039997
"75","DC 1",2006-03-01,2006,450.8299866,6.869,-1.391,2.7380002,0.279,4.4780002
"76","DC 1",2006-04-01,2006,467.0069885,13.8330002,3.0760002,8.4540005,0.698,9.1090002
"77","DC 1",2006-05-01,2006,47.3839989,23.0400009,8.8310003,15.9350004,3.609,20.9939995
"78","DC 1",2006-06-01,2006,0.719,28.5030003,13.5270004,21.0150013,5.9580002,29.8670006
"79","DC 1",2006-07-01,2006,0,33.0579987,16.4810009,24.769001,10.0310001,41.4370003
"80","DC 1",2006-08-01,2006,0,29.8519993,13.4820004,21.6660004,8.1490002,34.4760017
"81","DC 1",2006-09-01,2006,0,28.3369999,11.8000002,20.0680008,8.7349997,33.1150017
"82","DC 1",2006-10-01,2007,13.1750002,20.9370003,7.0560002,13.9960003,4.2290001,18.9969997
"83","DC 1",2006-11-01,2007,159.2519989,12.3959999,3.7060001,8.0500002,1.008,7.5279999
"84","DC 1",2006-12-01,2007,230.3860016,10.1750002,0.393,5.2840004,1.743,8.1049995
"85","DC 1",2007-01-01,2007,64.7539978,10.9490004,-1.5930001,4.6780005,2.3989999,10.8249998
"86","DC 1",2007-02-01,2007,417.3919983,10.4040003,1.1110001,5.7570004,1.1950001,7.0929999
"87","DC 1",2007-03-01,2007,41.7000008,17.2819996,3.4010003,10.3410006,2.135,14.4280005
"88","DC 1",2007-04-01,2007,111.0439987,17.6749992,3.3510001,10.5120001,1.671,14.427
"89","DC 1",2007-05-01,2007,44.8540001,23.8299999,8.4820004,16.1560001,4.4530001,23.7689991
"90","DC 1",2007-06-01,2007,18.3439999,27.1679993,11.7720003,19.4690018,5.5749998,28.4810009
"91","DC 1",2007-07-01,2007,0.676,31.0020008,15.2550011,23.1280003,7.8039999,36.0690002
"92","DC 1",2007-08-01,2007,0,31.1170006,14.9770002,23.0470009,9.5010004,38.2229996
"93","DC 1",2007-09-01,2007,35.9830017,25.3670006,10.1630001,17.7650013,5.132,26.8530006
"94","DC 1",2007-10-01,2008,123.9049988,18.6060009,6.2090001,12.4070005,2.329,14.6700001
"95","DC 1",2007-11-01,2008,51.2799988,15.7720003,5.5300002,10.651001,3.207,15.4329996
"96","DC 1",2007-12-01,2008,278.1669922,7.6399999,-1.072,3.2830002,0.803,5.5700002
"97","DC 1",2008-01-01,2008,354.8420105,6.5450001,-0.808,2.868,1.178,5.8410001
"98","DC 1",2008-02-01,2008,254.7440033,10.7950001,-0.143,5.3260002,1.401,8.6350002
"99","DC 1",2008-03-01,2008,60.7750015,14.3109999,1.342,7.8260002,1.399,11.4729996
"100","DC 1",2008-04-01,2008,19.1299992,17.3899994,2.1210001,9.7550001,2.273,16.0510006
"101","DC 1",2008-05-01,2008,25.6410007,22.25,7.9470005,15.0980005,4.105,21.2740002
"102","DC 1",2008-06-01,2008,0,27.9529991,12.3590002,20.1550007,7.6810002,31.6130009
"103","DC 1",2008-07-01,2008,0,31.8169994,15.8710003,23.8430004,9.7639999,39.1769981
"104","DC 1",2008-08-01,2008,0,32.1339989,15.6310005,23.8820019,10.3809996,40.8549995
"105","DC 1",2008-09-01,2008,0,29.5410004,12.9250002,21.2330017,10.302,36.723999
"106","DC 1",2008-10-01,2009,53.8260002,23.0510006,8.6400003,15.8450012,6.579,23.8169994
"107","DC 1",2008-11-01,2009,187.7830048,15.2959995,5.9590001,10.6270008,2.7030001,10.6429996
"108","DC 1",2008-12-01,2009,218.9199982,8.6370001,-0.356,4.1400003,1.709,7.4070001
"109","DC 1",2009-01-01,2009,118.5059967,13.316,2.3380001,7.8270001,3.576,11.9119997
"110","DC 1",2009-02-01,2009,385.6690063,9.3900003,0.563,4.9760003,1.444,7.2350001
"111","DC 1",2009-03-01,2009,230.5709991,12.3940001,0.9260001,6.6600003,1.404,9.6809998
"112","DC 1",2009-04-01,2009,62.9410019,16.9540005,2.8440001,9.8990002,2.7679999,15.6789999
"113","DC 1",2009-05-01,2009,180.3390045,23.7169991,10.1940002,16.9549999,5.131,23.0599995
"114","DC 1",2009-06-01,2009,12.1780005,24.5459995,11.335001,17.9400005,4.5609999,22.7700005
"115","DC 1",2009-07-01,2009,0,31.8400002,16.3700008,24.1050014,10.9029999,39.5029984
"116","DC 1",2009-08-01,2009,0,30.2240009,15.0970011,22.6600018,9.0290003,35.4280014
"117","DC 1",2009-09-01,2009,2.6400001,29.8209991,14.4700003,22.1450005,9.3900003,35.9650002
"118","DC 1",2009-10-01,2010,112.086998,18.9880009,6.6850004,12.8360004,2.941,15.0109997
"119","DC 1",2009-11-01,2010,67.2399979,14.6709995,4.335,9.5020008,2.2909999,11.2679996
"120","DC 1",2009-12-01,2010,250.5720062,8.6400003,-0.347,4.1460004,1.146,6.1999998
"121","DC 1",2010-01-01,2010,338.3049927,9.5159998,1.886,5.7000003,0.97,5.5749998
"122","DC 1",2010-02-01,2010,205.6809998,10.1049995,1.4020001,5.7530003,0.819,8.9729996
"123","DC 1",2010-03-01,2010,190.1080017,12.3470001,0.966,6.6560001,1.903,13.4230003
"124","DC 1",2010-04-01,2010,272.4769897,12.0550003,1.391,6.7230005,0.793,9.4379997
"125","DC 1",2010-05-01,2010,137.9129944,16.6720009,4.2820001,10.4770002,2.1600001,13.1590004
"126","DC 1",2010-06-01,2010,6.7319999,24.9190006,11.6520004,18.2850018,4.2880001,22.5380001
"127","DC 1",2010-07-01,2010,0,30.7110004,15.4130011,23.0620003,7.3039999,33.8100014
"128","DC 1",2010-08-01,2010,2.8340001,28.9230003,13.8190002,21.3710003,8.0150003,32.8510017
"129","DC 1",2010-09-01,2010,2.0420001,27.6019993,12.3380003,19.9690018,7.4070001,30.6529999
"130","DC 1",2010-10-01,2011,261.9169922,20.7059994,9.1370001,14.9210005,3.4549999,17.4370003
"131","DC 1",2010-11-01,2011,299.7059937,12.3760004,2.97,7.6730003,1.788,9.0579996
"132","DC 1",2010-12-01,2011,586.5640259,8.5970001,1.7960001,5.1960001,0.504,4.3070002
"133","DC 1",2011-01-01,2011,75.6480026,12.4510002,1.4490001,6.9500003,1.9859999,10.0550003
"134","DC 1",2011-02-01,2011,267.9219971,9.1149998,-1.205,3.9540002,1.4960001,7.7249999
"135","DC 1",2011-03-01,2011,611.7839966,8.4359999,0.744,4.5890002,0.465,5.1680002
"136","DC 1",2011-04-01,2011,109.5049973,14.1260004,2.082,8.1040001,0.93,10.0900002
"137","DC 1",2011-05-01,2011,111.8040009,16.6030006,4.6350002,10.6190004,2.164,13.0979996
"138","DC 1",2011-06-01,2011,81.7409973,22.9080009,10.3590002,16.6330013,3.813,19.4669991
"139","DC 1",2011-07-01,2011,0,28.4330006,13.8640003,21.1480007,5.4569998,28.7189999
"140","DC 1",2011-08-01,2011,0,30.2950001,15.3760004,22.835001,8.684,34.9529991
"141","DC 1",2011-09-01,2011,0.517,29.7929993,14.6120005,22.2020016,8.3719997,34.6860008
"142","DC 1",2011-10-01,2012,133.7100067,20.9939995,8.4440002,14.7180004,3.013,17.0559998
"143","DC 1",2011-11-01,2012,90.8769989,12.1400003,3.6210003,7.8800006,1.6849999,8.599
"144","DC 1",2011-12-01,2012,7.3499999,12.1350002,1.5550001,6.8450003,3.1530001,10.7089996
"145","DC 1",2012-01-01,2012,240.2640076,12.7980003,2.8840001,7.8410006,3.2079999,10.9759998
"146","DC 1",2012-02-01,2012,79.9349976,11.6660004,1.0780001,6.3720002,1.585,9.1160002
"147","DC 1",2012-03-01,2012,543.8220215,9.9820004,1.396,5.6890001,0.889,6.3049998
"148","DC 1",2012-04-01,2012,264.4620056,16.0410004,4.1720004,10.1060009,1.858,12.3730001
"149","DC 1",2012-05-01,2012,19.537199,22.3829994,8.2690001,15.3250008,4.8039999,22.0009995
"150","DC 1",2012-06-01,2012,57.0760002,25.3610001,11.6020002,18.4810009,6.6209998,26.1529999
"151","DC 1",2012-07-01,2012,2.6229999,29.7420006,14.578001,22.1600018,9.2880001,33.9980011
"152","DC 1",2012-08-01,2012,0.125,32.8639984,16.5040016,24.6840019,11.6199999,43.2579994
"153","DC 1",2012-09-01,2012,0,30.059,14.6560011,22.3570004,9.6110001,35.2659988
"154","DC 1",2012-10-01,2013,107.7350006,21.5550003,8.7410002,15.1480007,5.0250001,20.5949993
"155","DC 1",2012-11-01,2013,368.3989868,14.3009996,5.5000005,9.9000006,2.5580001,10.2030001
"156","DC 1",2012-12-01,2013,598.302063,7.619,0.899,4.2590003,0.911,4.9029999
"157","DC 1",2013-01-01,2013,39.8989983,11.2860003,-0.582,5.3520002,1.8559999,9.3879995
"158","DC 1",2013-02-01,2013,29.4179993,12.1850004,0.344,6.2640004,2.3139999,10.4750004
"159","DC 1",2013-03-01,2013,119.9729996,15.5609999,4.046,9.8030005,2.3559999,12.3500004
"160","DC 1",2013-04-01,2013,56.0079994,19.1550007,6.0660005,12.6100006,3.9200001,17.4559994
"161","DC 1",2013-05-01,2013,36.0429993,21.6660004,9.2810001,15.4730005,4.6729999,19.8099995
"162","DC 1",2013-06-01,2013,69.6910019,26.5499992,12.5710011,19.5600014,4.8860002,26.0249996
"163","DC 1",2013-07-01,2013,0,31.5879993,17.1730003,24.3800011,12.0010004,36.7809982
"164","DC 1",2013-08-01,2013,0,29.0510006,14.387001,21.7190018,8.0889997,32.3110008
"165","DC 1",2013-09-01,2013,56.3600006,24.8959999,11.7480001,18.3220005,5.6919999,23.9020004
"166","DC 1",2013-10-01,2014,20.1229992,20.698,7.5520005,14.125001,5.3390002,19.7320004
"167","DC 1",2013-11-01,2014,50.3050003,15.7069998,6.0540004,10.8800001,4.0929999,12.7019997
"168","DC 1",2013-12-01,2014,44.1949997,12.3380003,-0.141,6.0980005,3.1860001,11.2010002
"169","DC 1",2014-01-01,2014,54.4620018,16.2059994,5.098,10.651001,5.3179998,14.5220003
"170","DC 1",2014-02-01,2014,420.9179993,11.1859999,2.8640001,7.0240002,1.161,7.493
"171","DC 1",2014-03-01,2014,283.3160095,14.3909998,4.5870004,9.4890003,2.4059999,10.7980003
"172","DC 1",2014-04-01,2014,111.586998,17.7490005,5.4070001,11.578001,2.7079999,14.7559996
"173","DC 1",2014-05-01,2014,28.0720005,22.3390007,9.5710001,15.9550009,5.0650001,21.1690006
"174","DC 1",2014-06-01,2014,0,27.2390003,13.9110003,20.5750008,8.7939997,29.5639992
"175","DC 1",2014-07-01,2014,0.791,31.5289993,18.2420006,24.8850002,10.7869997,36.3740005
"176","DC 1",2014-08-01,2014,9.118,29.2479992,17.0209999,23.1340008,9.599,31.698
"177","DC 1",2014-09-01,2014,33.7529984,27.2639999,13.3260002,20.2950001,7.217,28.9820004
"178","DC 1",2014-10-01,2015,65.0650024,22.4950008,10.7790003,16.637001,6.145,21.1490002
"179","DC 1",2014-11-01,2015,169.0939941,14.7049999,5.5920005,10.1480007,2.4360001,10.2700005
"180","DC 1",2014-12-01,2015,440.7030029,8.9329996,3.1780002,6.0550003,0.568,4.164
"181","DC 1",2015-01-01,2015,1.6849999,15.007,4.6470003,9.8270006,3.1040001,11.875
"182","DC 1",2015-02-01,2015,202.3289948,16.1949997,5.4280005,10.8110008,2.6370001,12.309
"183","DC 1",2015-03-01,2015,31.0410004,18.198,5.5340004,11.8660002,2.763,14.5979996
"184","DC 1",2015-04-01,2015,103.4290009,17.6369991,4.9480004,11.2920008,2.733,14.533
"185","DC 1",2015-05-01,2015,32.0289993,20.0349998,8.1450005,14.0900011,2.839,15.6899996
"186","DC 1",2015-06-01,2015,12.9709997,28.8150005,14.769001,21.7920017,9.3559999,31.493
"187","DC 1",2015-07-01,2015,0.666,29.4699993,16.5450001,23.0070019,8.5290003,31.4360008
"188","DC 1",2015-08-01,2015,2.4560001,30.1009998,16.5310001,23.3150005,10.191,35.1010017
"189","DC 1",2015-09-01,2015,2.4200001,27.7560005,14.2130003,20.9840012,9.8970003,32.0579987
"190","DC 1",2015-10-01,2016,37.6479988,22.9960003,11.5220003,17.2590008,5.3179998,20.6809998
"191","DC 1",2015-11-01,2016,145.0460052,11.9969997,2.447,7.2210002,1.9299999,8.7089996
"192","DC 1",2015-12-01,2016,401.6459961,7.0770001,-0.532,3.2720001,0.582,4.2690001
"193","DC 1",2016-01-01,2016,490.302002,8.6859999,1.378,5.0310001,0.559,4.9219999
"194","DC 1",2016-02-01,2016,64.4960022,15.5159998,3.3420002,9.4290009,2.802,13.1020002
"195","DC 1",2016-03-01,2016,497.0450134,13.1339998,3.1440001,8.1380005,0.949,8.3360004
"196","DC 1",2016-04-01,2016,87.3079987,18.2539997,6.2740002,12.2630005,2.5090001,14.1820002
"197","DC 1",2016-05-01,2016,60.8639984,20.1560001,8.7600002,14.4580011,3.1429999,15.7700005
"198","DC 1",2016-06-01,2016,3.6489999,27.4330006,14.2460003,20.8390007,8.3389997,29.5709991
"199","DC 1",2016-07-01,2016,0,30.3570004,14.960001,22.6580009,11.6029997,36.598999
"200","DC 1",2016-08-01,2016,0,30.8129997,15.8970003,23.3550014,12.3409996,37.2869987
"201","DC 1",2016-09-01,2016,0.795,27.2670002,12.2200003,19.743,7.6599998,29.9729996
"202","DC 1",2016-10-01,2017,383.4599915,17.8999996,7.7760005,12.8380003,2.6719999,13.4049997
"203","DC 1",2016-11-01,2017,202.9019928,14.2040005,4.9810004,9.592,1.892,9.8540001
"204","DC 1",2016-12-01,2017,383.5799866,9.5010004,0.777,5.1390004,1.3150001,6.402
"205","DC 1",2017-01-01,2017,827.0499878,7.1760001,0.032,3.6040001,0.782,4.5349998
"206","DC 1",2017-02-01,2017,720.09198,9.059,2.358,5.7080002,0.895,4.6069999
"207","DC 1",2017-03-01,2017,193.5149994,13.7139997,3.6380002,8.6750002,1.4529999,9.5349998
"208","DC 1",2017-04-01,2017,295.6860046,14.257,3.8810003,9.0690002,1.7869999,10.0190001
"209","DC 1",2017-05-01,2017,13.2770004,22.8999996,8.9560003,15.927001,3.5710001,20.1749992
"210","DC 1",2017-06-01,2017,20.8379993,26.9829998,13.6560011,20.3190002,5.9759998,26.9890003
"211","DC 1",2017-07-01,2017,0,31.9589996,16.7540016,24.3560009,9.7229996,37.8660011
"212","DC 1",2017-08-01,2017,0,31.8439999,17.9220009,24.8830013,9.2469997,35.769001
"213","DC 1",2017-09-01,2017,7.0780001,26.5869999,12.8990002,19.743,6.4619999,27.6919994
"214","DC 1",2017-10-01,2018,20.8279991,23.1580009,9.3290005,16.243,6.8660002,23.3029995
"215","DC 1",2017-11-01,2018,463.901001,12.7880001,5.4530001,9.1200008,0.941,6.9759998
"216","DC 1",2017-12-01,2018,26.1380005,13.6669998,3.0200002,8.3430004,3.1830001,11.8800001
"217","DC 1",2018-01-01,2018,276.9700012,12.1280003,3.8290002,7.9780002,1.711,7.8829999
"218","DC 1",2018-02-01,2018,39.3639984,12.4460001,1.4220001,6.9340005,2.911,11.1379995
"219","DC 1",2018-03-01,2018,490.3009949,10.5530005,1.5140001,6.0330005,1.124,7.1599998
"220","DC 1",2018-04-01,2018,177.2749939,17.0119991,4.835,10.9230003,2.1199999,13.2320004
"221","DC 1",2018-05-01,2018,30.2520008,21.4990005,8.717,15.1080008,2.142,16.2530003
"222","DC 1",2018-06-01,2018,0,27.1289997,12.5220003,19.8250008,5.9310002,27.4979992
"223","DC 1",2018-07-01,2018,0,32.8320007,18.2320004,25.5320015,9.9469995,38.9420013
"224","DC 1",2018-08-01,2018,0,30.8180008,16.1110001,23.4640007,10.3730001,36.6459999
"225","DC 1",2018-09-01,2018,0,28.1259995,12.9750004,20.5500011,8.948,32.2400017
"226","DC 1",2018-10-01,2019,27.0230007,22.0419998,9.4580002,15.750001,5.4330001,20.1200008
"227","DC 1",2018-11-01,2019,249.9889984,16.677,6.1140003,11.3950005,4.533,14.349
"228","DC 1",2018-12-01,2019,131.3300018,9.632,1.562,5.5970001,0.779,6.4660001
"229","DC 1",2019-01-01,2019,418.6040039,10.7799997,2.059,6.4190001,1.416,7.2509999
"230","DC 1",2019-02-01,2019,680.5830078,4.8270001,-1.483,1.6720001,0.349,2.8510001
"231","DC 1",2019-03-01,2019,250.2630005,10.276,1.8150001,6.0450001,0.943,6.2610002
"232","DC 1",2019-04-01,2019,99.5080032,18.1350002,6.2509999,12.1929998,2.4449999,13.948
"233","DC 1",2019-05-01,2019,191.9880066,17.75,6.7930002,12.2714996,2.007,12.4630003
"234","DC 1",2019-06-01,2019,24.9430008,27.3260002,13.5270004,20.4265003,5.7649999,26.0100002
"235","DC 1",2019-07-01,2019,0,29.3169994,15.1199999,22.218399,6.5749998,29.8880005
"236","DC 1",2019-08-01,2019,0,30.5,16.8460007,23.6730003,9.1389999,33.7089996
"237","DC 1",2019-09-01,2019,76.5790024,25.4720001,11.5159998,18.4939003,5.0999999,24.9349995
"238","DC 1",2019-10-01,2020,2.97,20.8129997,6.888,13.8504,5.0310001,19.8330002
"239","DC 1",2019-11-01,2020,65.9300003,17.5720005,6.6170001,12.0944996,4.8889999,15.8669996
"240","DC 1",2019-12-01,2020,329.4930115,9.0100002,2.2420001,5.6259999,0.867,5.2049999
"241","DC 1",2020-01-01,2020,146.5390015,9.7180004,1.747,5.7320004,0.718,6.2220001
"242","DC 1",2020-02-01,2020,0.254,15.2030001,2.5550001,8.8789997,3.563,12.8030005
"243","DC 1",2020-03-01,2020,215.9140015,10.4029999,1.372,5.8873997,0.962,7.1430001
"244","DC 1",2020-04-01,2020,129.0899963,17.4050007,5.5079999,11.4565001,2.0190001,13.0579996
"245","DC 1",2020-05-01,2020,116.8789978,21.4179993,9.1499996,15.2838993,4.0029998,18.8780003
"246","DC 1",2020-06-01,2020,1.524,26.6170006,12.3929996,19.5049992,5.4829998,25.9230003
"247","DC 1",2020-07-01,2020,0,30.9869995,16.1100006,23.5485001,8.3430004,34.9370003
"248","DC 1",2020-08-01,2020,0,32.2980003,17.5470009,24.9224987,9.9040003,38.375
"249","DC 1",2020-09-01,2020,0,30.1149998,15.4630003,22.7889996,10.7139997,35.5730019
"250","DC 1",2020-10-01,2021,0,26.8589993,13.007,19.9328995,10.9910002,30.8430004
"251","DC 1",2020-11-01,2021,129.4179993,14.7749996,4.257,9.5158997,3.4749999,13.118
"252","DC 1",2020-12-01,2021,128.5059967,12.3850002,2.368,7.3764997,2.2290001,10.2110004
"253","DC 1",2021-01-01,2021,187.8934937,10.1822996,1.9727999,6.0774999,1.6769999,7.8493996
"254","DC 1",2021-02-01,2021,127.848999,10.7854996,1.2487,6.0169997,1.4283,8.0809994
"255","DC 1",2021-03-01,2021,122.789299,12.1040993,1.0302,6.5671,1.4329,9.7382002
"256","DC 1",2021-04-01,2021,12.5155993,19.6127987,5.342,12.4772997,3.5116999,17.5697002
"257","DC 1",2021-05-01,2021,5.2167001,23.4862995,9.7234993,16.6047993,4.6651001,22.8795986
"258","DC 1",2021-06-01,2021,0.9994,29.8403988,15.2790995,22.5597,8.1688995,35.1002998
"259","DC 1",2021-07-01,2021,0,33.487999,18.6353989,26.0615997,12.9177999,43.6819
"260","DC 1",2021-08-01,2021,0,31.7354984,17.5858994,24.6605988,11.3495998,39.0172005
"261","DC 1",2021-09-01,2021,26.2768002,29.218399,14.5929995,21.9055996,8.1112995,34.5239983
"262","DC 1",2021-10-01,2022,399.0994873,17.6057987,7.3312998,12.4685001,3.0019,13.4045
"263","DC 1",2021-11-01,2022,77.9721985,16.0074005,6.5569,11.2820997,2.273,11.1698999
"264","DC 1",2021-12-01,2022,502.8321838,8.8483,1.6215999,5.2349,1.4532995,6.0734997
"265","DC 1",2022-01-01,2022,43.6767006,13.2100992,2.8241,8.0170002,2.6067998,10.6001997
"266","DC 1",2022-02-01,2022,14.0880995,14.5113993,2.4173999,8.4643002,3.6943998,13.2156992
"267","DC 1",2022-03-01,2022,37.868,15.5878,3.7486,9.6681995,1.9486001,11.9226999
"268","DC 1",2022-04-01,2022,199.8755951,16.0818005,4.6348,10.3583002,2.2424002,13.1876993
"269","DC 1",2022-05-01,2022,9.4123993,20.612999,7.8343997,14.2235994,4.3298006,18.924799
"270","DC 1",2022-06-01,2022,33.5566978,26.3822994,13.2142992,19.7981987,7.4660997,27.3514996
